City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Myrtle Beach,Estados Unidos,1521.0,495.3,Várias companhias aéreas,MYR,2023-06-10,2023-06-17,http://kayak.com/flights/DEN-MYR/2023-06-10/2023-06-17/,495.3,1.0
Reno,Estados Unidos,279.0,417.29,United Airlines,RNO,2023-06-22,2023-06-26,http://kayak.com/flights/DEN-RNO/2023-06-22/2023-06-26/,417.29,1.0
Nassau,Bahamas,724.0,568.6,Várias companhias aéreas,NAS,2023-06-22,2023-06-27,http://kayak.com/flights/DEN-NAS/2023-06-22/2023-06-27/,568.6,1.0
Oranjestad,Aruba,670.0,976.49,JetBlue,AUA,2023-06-17,2023-06-24,http://kayak.com/flights/DEN-AUA/2023-06-17/2023-06-24/,976.49,1.0
Syracuse,Estados Unidos,529.0,666.34,Frontier,SYR,2023-06-14,2023-06-18,http://kayak.com/flights/DEN-SYR/2023-06-14/2023-06-18/,666.34,1.0
Savannah,Estados Unidos,464.0,390.97,American Airlines,SAV,2023-06-20,2023-06-27,http://kayak.com/flights/DEN-SAV/2023-06-20/2023-06-27/,390.97,1.0
Montevidéu,Uruguai,1327.0,1385.31,Copa Airlines,MVD,2023-06-12,2023-06-19,http://kayak.com/flights/DEN-MVD/2023-06-12/2023-06-19/,1385.31,1.0
Norfolk,Estados Unidos,383.0,531.01,American Airlines,ORF,2023-06-17,2023-06-24,http://kayak.com/flights/DEN-ORF/2023-06-17/2023-06-24/,531.01,1.0
Monterrei,México,1640.0,448.3,Várias companhias aéreas,MTY,2023-06-21,2023-06-25,http://kayak.com/flights/DEN-MTY/2023-06-21/2023-06-25/,448.3,1.0
Boise,Estados Unidos,294.0,292.29,Delta,BOI,2023-06-14,2023-06-20,http://kayak.com/flights/DEN-BOI/2023-06-14/2023-06-20/,292.29,1.0
Sarasota,Estados Unidos,482.0,533.83,Delta,SRQ,2023-06-02,2023-06-09,http://kayak.com/flights/DEN-SRQ/2023-06-02/2023-06-09/,533.83,1.0
Memphis,Estados Unidos,443.0,363.72,United Airlines,MEM,2023-06-09,2023-06-13,http://kayak.com/flights/DEN-MEM/2023-06-09/2023-06-13/,363.72,1.0
Omaha,Estados Unidos,98.0,430.45,United Airlines,OMA,2023-06-11,2023-06-15,http://kayak.com/flights/DEN-OMA/2023-06-11/2023-06-15/,430.45,1.0
Grand Rapids,Estados Unidos,384.0,496.24,United Airlines,GRR,2023-06-12,2023-06-17,http://kayak.com/flights/DEN-GRR/2023-06-12/2023-06-17/,496.24,1.0
Rochester,Estados Unidos,467.0,526.31,United Airlines,ROC,2023-06-07,2023-06-12,http://kayak.com/flights/DEN-ROC/2023-06-07/2023-06-12/,526.31,1.0
Tucson,Estados Unidos,1465.0,426.69,American Airlines,TUS,2023-06-02,2023-06-06,http://kayak.com/flights/DEN-TUS/2023-06-02/2023-06-06/,426.69,1.0
Tijuana,México,715.0,537.59,Várias companhias aéreas,TIJ,2023-06-22,2023-06-28,http://kayak.com/flights/DEN-TIJ/2023-06-22/2023-06-28/,537.59,1.0
Providence,Estados Unidos,426.0,603.38,American Airlines,PVD,2023-06-17,2023-06-23,http://kayak.com/flights/DEN-PVD/2023-06-17/2023-06-23/,603.38,1.0
Spokane,Estados Unidos,311.0,333.64,Delta,GEG,2023-06-06,2023-06-13,http://kayak.com/flights/DEN-GEG/2023-06-06/2023-06-13/,333.64,1.0
Oklahoma City,Estados Unidos,889.0,390.03,Frontier,OKC,2023-06-01,2023-06-06,http://kayak.com/flights/DEN-OKC/2023-06-01/2023-06-06/,390.03,1.0
Winnipeg,Canadá,510.0,468.04,WestJet,YWG,2023-06-08,2023-06-13,http://kayak.com/flights/DEN-YWG/2023-06-08/2023-06-13/,468.04,1.0
Addis Abeba,Etiópia,2565.0,1510.31,Air Canada,ADD,2023-06-12,2023-06-18,http://kayak.com/flights/DEN-ADD/2023-06-12/2023-06-18/,1510.31,1.0
Ponta Delgada,Portugal,1087.0,1566.7,United Airlines,PDL,2023-06-16,2023-06-23,http://kayak.com/flights/DEN-PDL/2023-06-16/2023-06-23/,1566.7,1.0
Palm Springs,Estados Unidos,370.0,459.58,American Airlines,PSP,2023-06-14,2023-06-18,http://kayak.com/flights/DEN-PSP/2023-06-14/2023-06-18/,459.58,1.0
Halifax,Canadá,515.0,627.81,United Airlines,YHZ,2023-06-16,2023-06-23,http://kayak.com/flights/DEN-YHZ/2023-06-16/2023-06-23/,627.81,1.0
Pensacola,Estados Unidos,315.0,430.45,American Airlines,PNS,2023-06-03,2023-06-10,http://kayak.com/flights/DEN-PNS/2023-06-03/2023-06-10/,430.45,1.0
Kailua-Kona,Estados Unidos,887.0,739.65,Alaska Airlines,KOA,2023-06-05,2023-06-12,http://kayak.com/flights/DEN-KOA/2023-06-05/2023-06-12/,739.65,1.0
Louisville,Estados Unidos,471.0,352.44,American Airlines,SDF,2023-06-02,2023-06-06,http://kayak.com/flights/DEN-SDF/2023-06-02/2023-06-06/,352.44,1.0
Bridgetown,Barbados,1675.0,860.89,Air Canada,BGI,2023-06-10,2023-06-17,http://kayak.com/flights/DEN-BGI/2023-06-10/2023-06-17/,860.89,1.0
Burbank,Estados Unidos,298.0,387.21,Delta,BUR,2023-06-07,2023-06-12,http://kayak.com/flights/DEN-BUR/2023-06-07/2023-06-12/,387.21,1.0
Kingston,Jamaica,996.0,727.43,American Airlines,KIN,2023-06-01,2023-06-08,http://kayak.com/flights/DEN-KIN/2023-06-01/2023-06-08/,727.43,1.0
Des Moines,Estados Unidos,454.0,485.9,Delta,DSM,2023-06-14,2023-06-18,http://kayak.com/flights/DEN-DSM/2023-06-14/2023-06-18/,485.9,1.0
Bozeman,Estados Unidos,110.0,355.26,United Airlines,BZN,2023-06-19,2023-06-23,http://kayak.com/flights/DEN-BZN/2023-06-19/2023-06-23/,355.26,1.0
Knoxville,Estados Unidos,211.0,190.79,Várias companhias aéreas,TYS,2023-06-01,2023-06-05,http://kayak.com/flights/DEN-TYS/2023-06-01/2023-06-05/,190.79,1.0
Míconos,Grécia,3575.0,1723.65,Lufthansa,JMK,2023-06-12,2023-06-17,http://kayak.com/flights/DEN-JMK/2023-06-12/2023-06-17/,1723.65,1.0
Fresno,Estados Unidos,1319.0,717.1,American Airlines,FAT,2023-06-08,2023-06-12,http://kayak.com/flights/DEN-FAT/2023-06-08/2023-06-12/,717.1,1.0
Chiang Mai,Tailândia,2182.0,2222.7,Qatar Airways,CNX,2023-06-05,2023-06-09,http://kayak.com/flights/DEN-CNX/2023-06-05/2023-06-09/,2222.7,1.0
Burlington,Estados Unidos,1351.0,448.3,Delta,BTV,2023-06-20,2023-06-27,http://kayak.com/flights/DEN-BTV/2023-06-20/2023-06-27/,448.3,1.0
Albany,Estados Unidos,492.0,409.77,United Airlines,ALB,2023-06-03,2023-06-10,http://kayak.com/flights/DEN-ALB/2023-06-03/2023-06-10/,409.77,1.0
Santiago,República Dominicana,1595.0,672.92,American Airlines,STI,2023-06-14,2023-06-21,http://kayak.com/flights/DEN-STI/2023-06-14/2023-06-21/,672.92,1.0
Porto de Espanha,Trinidad e Tobago,1783.0,1311.07,Copa Airlines,POS,2023-06-17,2023-06-23,http://kayak.com/flights/DEN-POS/2023-06-17/2023-06-23/,1311.07,1.0
Zadar,Croácia,2179.0,1643.77,Várias companhias aéreas,ZAD,2023-06-13,2023-06-20,http://kayak.com/flights/DEN-ZAD/2023-06-13/2023-06-20/,1643.77,1.0
Pequim,China,2027.0,1990.56,Várias companhias aéreas,BJS,2023-06-04,2023-06-10,http://kayak.com/flights/DEN-BJS/2023-06-04/2023-06-10/,1990.56,1.0
Barranquilla,Colômbia,1123.0,760.33,Copa Airlines,BAQ,2023-06-07,2023-06-12,http://kayak.com/flights/DEN-BAQ/2023-06-07/2023-06-12/,760.33,1.0
Verona,Itália,1335.0,2477.4,Finnair,VRN,2023-06-07,2023-06-14,http://kayak.com/flights/DEN-VRN/2023-06-07/2023-06-14/,2477.4,1.0
