City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Thiruvananthapuram,Índia,2505,1587.38,Emirates,TRV,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-TRV/2023-06-07/2023-06-14/,1587.38,1
Samarcanda,Uzbequistão,1560,1380.62,Turkish Airlines,SKD,2023-05-04,2023-05-10,http://kayak.com/flights/EWR-SKD/2023-05-04/2023-05-10/,1380.62,1
Varanasi,Índia,3410,1430.43,Várias companhias aéreas,VNS,2023-03-17,2023-03-24,http://kayak.com/flights/EWR-VNS/2023-03-17/2023-03-24/,1430.43,1
São Sebastião,Espanha,1020,1504.67,American Airlines,EAS,2023-06-30,2023-07-07,http://kayak.com/flights/EWR-EAS/2023-06-30/2023-07-07/,1504.67,1
Vero Beach,Estados Unidos,2400,1374.98,Várias companhias aéreas,VRB,2023-04-08,2023-04-15,http://kayak.com/flights/EWR-VRB/2023-04-08/2023-04-15/,1374.98,1
Sibiu,Roménia,925,1472.72,Várias companhias aéreas,SBZ,2023-03-19,2023-03-23,http://kayak.com/flights/EWR-SBZ/2023-03-19/2023-03-23/,1472.72,1
Parikia,Grécia,1765,1412.57,Várias companhias aéreas,PAS,2023-05-27,2023-05-31,http://kayak.com/flights/EWR-PAS/2023-05-27/2023-05-31/,1412.57,1
Dalaman,Turquia,1880,1474.6,British Airways,DLM,2023-04-09,2023-04-16,http://kayak.com/flights/EWR-DLM/2023-04-09/2023-04-16/,1474.6,1
Ushuaia,Argentina,2095,1449.22,Várias companhias aéreas,USH,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-USH/2023-06-01/2023-06-08/,1449.22,1
Port Blair,Índia,2220,1452.98,Air India,IXZ,2023-05-23,2023-05-29,http://kayak.com/flights/EWR-IXZ/2023-05-23/2023-05-29/,1452.98,1
Hoedspruit,África do Sul,2280,1462.38,Várias companhias aéreas,HDS,2023-11-22,2023-11-26,http://kayak.com/flights/EWR-HDS/2023-11-22/2023-11-26/,1462.38,1
Carcassonne,França,1865,1437.94,Várias companhias aéreas,CCF,2023-06-22,2023-06-27,http://kayak.com/flights/EWR-CCF/2023-06-22/2023-06-27/,1437.94,1
Pune,Índia,2310,1613.69,Várias companhias aéreas,PNQ,2023-12-24,2023-12-31,http://kayak.com/flights/EWR-PNQ/2023-12-24/2023-12-31/,1613.69,1
Caiena,Guiana Francesa,2803,1441.7,Várias companhias aéreas,CAY,2023-03-25,2023-04-01,http://kayak.com/flights/EWR-CAY/2023-03-25/2023-04-01/,1441.7,1
Chiclayo,Perú,1025,1468.96,Várias companhias aéreas,CIX,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-CIX/2023-04-10/2023-04-17/,1468.96,1
Suva,Fiji,1708,1436.07,Várias companhias aéreas,SUV,2023-05-09,2023-05-16,http://kayak.com/flights/EWR-SUV/2023-05-09/2023-05-16/,1436.07,1
Rijeka,Croácia,2085,1502.79,Várias companhias aéreas,RJK,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-RJK/2023-06-10/2023-06-17/,1502.79,1
